episode,date,rubric,title,source,mode,pages,word_count,md_path,html_path
1,2026-06-16,Как думают топ-аналитики,"Вы спорите не о стратегии, а о смысле одного слова",Gottlob Frege,разбор встречи,6,1197,episodes-md/001-gottlob-frege.md,episodes-html/001-gottlob-frege.html
2,2026-06-23,Пройди собеседование сегодня,North Star Metric: как выбрать главную метрику продукта,North Star Metric,аудит решения,6,1476,episodes-md/002-north-star-metric.md,episodes-html/002-north-star-metric.html
3,2026-06-30,Как думают топ-аналитики,Когда здравый смысл сильнее красивой стратегии,G. E. Moore,диалог с кандидатом,6,1187,episodes-md/003-g-e-moore.md,episodes-html/003-g-e-moore.html
4,2026-07-07,Пройди собеседование сегодня,AARRR: как найти слабое место роста,AARRR / Pirate Metrics,сцена малого бизнеса,6,1465,episodes-md/004-aarrr-pirate-metrics.md,episodes-html/004-aarrr-pirate-metrics.html
5,2026-07-14,Как думают топ-аналитики,"Все говорят одно предложение, но внутри него три разных решения",Bertrand Russell,разбор таблицы,6,1191,episodes-md/005-bertrand-russell.md,episodes-html/005-bertrand-russell.html
6,2026-07-21,Пройди собеседование сегодня,"Activation Rate: как доказать, что пользователь получил ценность",Activation Rate,проверка обещания,6,1456,episodes-md/006-activation-rate.md,episodes-html/006-activation-rate.html
7,2026-07-28,Как думают топ-аналитики,"Команда использует одно слово, но играет в разные игры",Ludwig Wittgenstein,разбор ошибки языка,6,1205,episodes-md/007-ludwig-wittgenstein.md,episodes-html/007-ludwig-wittgenstein.html
8,2026-08-04,Пройди собеседование сегодня,Conversion Rate: как не ошибиться в знаменателе,Conversion Rate,ответ перед наймом,6,1462,episodes-md/008-conversion-rate.md,episodes-html/008-conversion-rate.html
9,2026-08-11,Как думают топ-аналитики,"Вы спорите о решении, хотя не договорились о правилах языка",Rudolf Carnap,разбор встречи,6,1185,episodes-md/009-rudolf-carnap.md,episodes-html/009-rudolf-carnap.html
10,2026-08-18,Пройди собеседование сегодня,Funnel Drop-off: где воронка теряет деньги,Funnel Drop-off Rate,аудит решения,6,1456,episodes-md/010-funnel-drop-off-rate.md,episodes-html/010-funnel-drop-off-rate.html
11,2026-08-25,Как думают топ-аналитики,"Встреча закончилась выводом, который никто не может проверить",A. J. Ayer,диалог с кандидатом,6,1182,episodes-md/011-a-j-ayer.md,episodes-html/011-a-j-ayer.html
12,2026-09-01,Пройди собеседование сегодня,Retention Rate: нужен ли продукт после первого интереса,Retention Rate,сцена малого бизнеса,6,1455,episodes-md/012-retention-rate.md,episodes-html/012-retention-rate.html
13,2026-09-08,Как думают топ-аналитики,"Вы наняли процесс, а ждете от него результата",Gilbert Ryle,разбор таблицы,6,1179,episodes-md/013-gilbert-ryle.md,episodes-html/013-gilbert-ryle.html
14,2026-09-15,Пройди собеседование сегодня,Cohort Analysis: почему среднее значение обманывает,Cohort Analysis,проверка обещания,6,1450,episodes-md/014-cohort-analysis.md,episodes-html/014-cohort-analysis.html
15,2026-09-22,Как думают топ-аналитики,Одна фраза руководителя уже изменила поведение команды,J. L. Austin,разбор ошибки языка,6,1190,episodes-md/015-j-l-austin.md,episodes-html/015-j-l-austin.html
16,2026-09-29,Пройди собеседование сегодня,Churn Rate: как считать потери пользователей и выручки,Churn Rate,ответ перед наймом,6,1461,episodes-md/016-churn-rate.md,episodes-html/016-churn-rate.html
17,2026-10-06,Как думают топ-аналитики,"Данные выглядят точными, пока вы не спросили: в какой ситуации?",P. F. Strawson,разбор встречи,6,1189,episodes-md/017-p-f-strawson.md,episodes-html/017-p-f-strawson.html
18,2026-10-13,Пройди собеседование сегодня,"DAU, WAU, MAU: как измерить живую аудиторию",Active Users,аудит решения,6,1452,episodes-md/018-active-users.md,episodes-html/018-active-users.html
19,2026-10-20,Как думают топ-аналитики,"Человек сказал все правильно, но команда поняла другое",H. P. Grice,диалог с кандидатом,6,1178,episodes-md/019-h-p-grice.md,episodes-html/019-h-p-grice.html
20,2026-10-27,Пройди собеседование сегодня,Stickiness: когда продукт становится привычкой,DAU/MAU,сцена малого бизнеса,6,1445,episodes-md/020-dau-mau.md,episodes-html/020-dau-mau.html
21,2026-11-03,Как думают топ-аналитики,Одна плохая гипотеза держит на себе весь план продаж,W. V. O. Quine,разбор таблицы,6,1186,episodes-md/021-w-v-o-quine.md,episodes-html/021-w-v-o-quine.html
22,2026-11-10,Пройди собеседование сегодня,"Feature Adoption: как понять, нужна ли функция",Feature Adoption Rate,проверка обещания,6,1456,episodes-md/022-feature-adoption-rate.md,episodes-html/022-feature-adoption-rate.html
23,2026-11-17,Как думают топ-аналитики,"Факт есть в таблице, но решения из него все равно нет",Wilfrid Sellars,разбор ошибки языка,6,1184,episodes-md/023-wilfrid-sellars.md,episodes-html/023-wilfrid-sellars.html
24,2026-11-24,Пройди собеседование сегодня,CAC: сколько стоит новый клиент,Customer Acquisition Cost,ответ перед наймом,6,1463,episodes-md/024-customer-acquisition-cost.md,episodes-html/024-customer-acquisition-cost.html
25,2026-12-01,Как думают топ-аналитики,"Клиент сказал простую фразу, а вы перевели ее в неправильную задачу",Donald Davidson,разбор встречи,6,1182,episodes-md/025-donald-davidson.md,episodes-html/025-donald-davidson.html
26,2026-12-08,Пройди собеседование сегодня,LTV: как считать ценность клиента без фантазии,Lifetime Value,аудит решения,6,1476,episodes-md/026-lifetime-value.md,episodes-html/026-lifetime-value.html
27,2026-12-15,Как думают топ-аналитики,"Все спорят о том же слове, но каждый держит в голове другой объект",Saul Kripke,диалог с кандидатом,6,1193,episodes-md/027-saul-kripke.md,episodes-html/027-saul-kripke.html
28,2026-12-22,Пройди собеседование сегодня,LTV:CAC: когда рост окупается,LTV:CAC Ratio,сцена малого бизнеса,6,1456,episodes-md/028-ltv-cac-ratio.md,episodes-html/028-ltv-cac-ratio.html
29,2026-12-29,Как думают топ-аналитики,"Значение продукта находится не в презентации, а в среде клиента",Hilary Putnam,разбор таблицы,6,1183,episodes-md/029-hilary-putnam.md,episodes-html/029-hilary-putnam.html
30,2027-01-05,Пройди собеседование сегодня,CAC Payback: когда вернутся деньги на привлечение,CAC Payback Period,проверка обещания,6,1457,episodes-md/030-cac-payback-period.md,episodes-html/030-cac-payback-period.html
31,2027-01-12,Как думают топ-аналитики,"План выглядит разумно, пока не проверили второй сценарий",David Lewis,разбор ошибки языка,6,1188,episodes-md/031-david-lewis.md,episodes-html/031-david-lewis.html
32,2027-01-19,Пройди собеседование сегодня,"ARPU, ARPA, ARPPU: как читать среднюю выручку",ARPU / ARPA / ARPPU,ответ перед наймом,6,1457,episodes-md/032-arpu-arpa-arppu.md,episodes-html/032-arpu-arpa-arppu.html
33,2027-01-26,Как думают топ-аналитики,"Команда делает задачу, но уже забыла, зачем она это делает",G. E. M. Anscombe,разбор встречи,6,1183,episodes-md/033-g-e-m-anscombe.md,episodes-html/033-g-e-m-anscombe.html
34,2027-02-02,Пройди собеседование сегодня,MRR и ARR: как не перепутать подписку и случайные деньги,MRR / ARR,аудит решения,6,1456,episodes-md/034-mrr-arr.md,episodes-html/034-mrr-arr.html
35,2027-02-09,Как думают топ-аналитики,"Метрика стала решением, хотя за ошибку заплатит другой человек",Heather Douglas,диалог с кандидатом,6,1187,episodes-md/035-heather-douglas.md,episodes-html/035-heather-douglas.html
36,2027-02-16,Пройди собеседование сегодня,Trial-to-Paid: почему trial не всегда продает,Trial-to-Paid Conversion,сцена малого бизнеса,6,1451,episodes-md/036-trial-to-paid-conversion.md,episodes-html/036-trial-to-paid-conversion.html
37,2027-02-23,Как думают топ-аналитики,Роль в системе заставляет человека вести себя как другой пользователь,Sally Haslanger,разбор таблицы,6,1188,episodes-md/037-sally-haslanger.md,episodes-html/037-sally-haslanger.html
38,2027-03-02,Пройди собеседование сегодня,NRR и GRR: как удерживать и расширять выручку,NRR / GRR,проверка обещания,6,1462,episodes-md/038-nrr-grr.md,episodes-html/038-nrr-grr.html
39,2027-03-09,Как думают топ-аналитики,Вы улучшили измерение и внезапно изменили сам продукт,Hasok Chang,разбор ошибки языка,6,1189,episodes-md/039-hasok-chang.md,episodes-html/039-hasok-chang.html
40,2027-03-16,Пройди собеседование сегодня,"NPS, CSAT, CES: что опросы показывают, а что скрывают",NPS / CSAT / CES,ответ перед наймом,6,1459,episodes-md/040-nps-csat-ces.md,episodes-html/040-nps-csat-ces.html
41,2027-03-23,Как думают топ-аналитики,"Доверие появляется не после слов, а после принятых обязательств",Robert Brandom,разбор встречи,6,1182,episodes-md/041-robert-brandom.md,episodes-html/041-robert-brandom.html
42,2027-03-30,Как думают топ-аналитики,"Компания тонет не в задачах, а в среде информации",Luciano Floridi,аудит решения,6,1187,episodes-md/042-luciano-floridi.md,episodes-html/042-luciano-floridi.html
43,2027-04-06,Как думают топ-аналитики,"Умный человек молчит на встрече, и компания теряет знание",Miranda Fricker,диалог с кандидатом,6,1178,episodes-md/043-miranda-fricker.md,episodes-html/043-miranda-fricker.html
44,2027-04-13,Как думают топ-аналитики,"Запуск выстрелил, но никто не знает почему",Duncan Pritchard,сцена малого бизнеса,6,1177,episodes-md/044-duncan-pritchard.md,episodes-html/044-duncan-pritchard.html
45,2027-04-20,Как думают топ-аналитики,"То, что сработало в одном рынке, ломается в другом",Nancy Cartwright,разбор таблицы,6,1190,episodes-md/045-nancy-cartwright.md,episodes-html/045-nancy-cartwright.html
46,2027-04-27,Как думают топ-аналитики,"Клиент решил раньше, чем успел объяснить свое решение",Patricia Churchland,проверка обещания,6,1181,episodes-md/046-patricia-churchland.md,episodes-html/046-patricia-churchland.html
47,2027-05-04,Как думают топ-аналитики,"Вы не имеете права утверждать то, чего еще не знаете",Timothy Williamson,разбор ошибки языка,6,1185,episodes-md/047-timothy-williamson.md,episodes-html/047-timothy-williamson.html
48,2027-05-11,Как думают топ-аналитики,"Инструмент уже думает вместе с вами, но вы называете его просто софтом",Andy Clark,ответ перед наймом,6,1186,episodes-md/048-andy-clark.md,episodes-html/048-andy-clark.html
49,2027-05-18,Как думают топ-аналитики,"Пользователь видит не экран, а возможность действовать",Susanna Siegel,разбор встречи,6,1183,episodes-md/049-susanna-siegel.md,episodes-html/049-susanna-siegel.html
50,2027-05-25,Как думают топ-аналитики,"Люди доверяют ответу не потому, что он длинный",Jennifer Nagel,аудит решения,6,1189,episodes-md/050-jennifer-nagel.md,episodes-html/050-jennifer-nagel.html
51,2027-06-01,Как думают топ-аналитики,"Лучший сотрудник знает больше, чем может объяснить в регламенте",Michael Polanyi,диалог с кандидатом,6,1176,episodes-md/051-michael-polanyi.md,episodes-html/051-michael-polanyi.html
